variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
primary_traceable,corrected_strict_source_intercept_recalibrated,brier,0.3930366436725561,0.35490378144634216,0.4188471116971771,1000,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,calibration_intercept,-0.6250876113066747,-0.8935741644531451,-0.43181671358544704,999,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,calibration_slope,0.04734728074326623,-0.013499073537053364,0.09897500019058572,999,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,mean_predicted_risk,0.5900608967052373,0.4025002591119603,0.6947691650353403,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,auroc,0.4958909286183098,0.46215706524241695,0.5369211341530811,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,auprc,0.3359604994726276,0.2780150112722538,0.3972369034125498,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,brier,0.22748083360766153,0.20794556198753325,0.24218783982334247,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,calibration_intercept,-4.746544189179743,-9.228896237309867,0.2009383038963913,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,calibration_slope,-6.331965704598658,-13.14785412090222,1.5950549375335195,1000,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,mean_predicted_risk,0.34286270065957763,0.3415033855750752,0.3453047813601417,1000,1000
primary_traceable,target_native_refit,auroc,0.6324300403747092,0.5997015071323818,0.6579750007053425,1000,1000
primary_traceable,target_native_refit,auprc,0.4725976799383783,0.4029406859665671,0.5243688560636717,1000,1000
primary_traceable,target_native_refit,brier,0.21556696007712212,0.1947110076947298,0.2306461945485902,1000,1000
primary_traceable,target_native_refit,calibration_intercept,-0.12147045012605133,-0.42257465139234374,0.04240223413335958,1000,1000
primary_traceable,target_native_refit,calibration_slope,0.8349359901582046,0.6241236393162504,0.982125507130295,1000,1000
primary_traceable,target_native_refit,mean_predicted_risk,0.35550071718178106,0.32881272277391427,0.37592469457449723,1000,1000
primary_traceable,target_native__harmonized_last_values,auroc,0.6116818154696791,0.5832171289138466,0.6483495604390381,1000,1000
primary_traceable,target_native__harmonized_last_values,auprc,0.46399281138064563,0.40780636488830524,0.5133575286158456,1000,1000
primary_traceable,target_native__harmonized_last_values,brier,0.21934215883861968,0.20064336954165918,0.23238792159077978,1000,1000
primary_traceable,target_native__harmonized_last_values,calibration_intercept,-0.12267512431552999,-0.38787632371240927,0.04760483318041276,1000,1000
primary_traceable,target_native__harmonized_last_values,calibration_slope,0.9855131258851455,0.7275178545024547,1.3319908701861989,1000,1000
primary_traceable,target_native__harmonized_last_values,mean_predicted_risk,0.37458581180554895,0.3681427349009861,0.38514144357510893,1000,1000
