artifact,variant,model,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,reference
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,calibration_intercept,-0.6379834905565518,-0.637332491182032,0.000650999374519845,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,calibration_slope,-0.0242820529883786,-0.0231069825965821,0.0011750703917964983,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,mean_predicted_risk,0.3776698056009512,0.3776998969063351,3.0091305383894706e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,auroc,0.6293412756816962,0.6294655820521491,0.00012430637045290904,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,auprc,0.4791114449573424,0.4790027564313084,-0.00010868852603401757,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,brier,0.2159457887414958,0.2159215032542064,-2.428548728941604e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,calibration_intercept,-0.1469664634598125,-0.1461419887247955,0.0008244747350170112,1e-10,DIFFERENCE,,
