artifact,analysis,model,outcome,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,comparison,threshold
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,calibration_intercept,-0.5391778988691552,-0.5269219420676386,0.012255956801516588,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,calibration_slope,0.7827609946808535,0.6925878877271626,-0.09017310695369085,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,multiclass_log_loss,0.7165330758412752,0.725209258894877,0.008676183053601738,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,multiclass_brier,0.475872432152756,0.4842870461833068,0.008414614030550827,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,test_events,320.0,320.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,prevalence,0.4644412191582003,0.4644412191582003,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,auroc,0.688109756097561,0.6706978319783198,-0.017411924119241196,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,auprc,0.6033316298663871,0.5822457823183352,-0.021085847548051873,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,brier,0.2253426820354415,0.228421072877169,0.0030783908417275074,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,calibration_intercept,0.4792786734909582,0.4081901670192671,-0.07108850647169113,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,calibration_slope,0.9384862866672344,0.8307799360117621,-0.1077063506554723,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,multiclass_log_loss,0.7165330758412752,0.725209258894877,0.008676183053601738,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,restart_first,multiclass_brier,0.475872432152756,0.4842870461833068,0.008414614030550827,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,test_events,138.0,138.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,prevalence,0.2002902757619738,0.2002902757619738,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,auroc,0.9612299113601096,0.9612430626791868,1.3151319077198131e-05,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,auprc,0.9218187835312602,0.921604451510266,-0.00021433202099419013,1e-10,DIFFERENCE,,,
